精选,#genre#
汕头综合[1920*1080],http://119.140.58.156:9901/hls/4/index.m3u8
汕头经济生活[1920*1080],http://119.140.58.156:9901/hls/5/index.m3u8
汕头文旅体育[1920*1080],http://119.140.58.156:9901/hls/6/index.m3u8
汕尾-1[1920*1080],http://119.140.58.156:9901/hls/7/index.m3u8
CHC高清电影[1920*1080],http://119.140.58.156:9901/hls/8/index.m3u8
鳯凰资讯[1920*1080],http://119.140.58.156:9901/hls/9/index.m3u8
鳯凰中文[1280*720],http://119.140.58.156:9901/hls/10/index.m3u8
TVB星河频道,http://119.140.58.156:9901/hls/11/index.m3u8
惠来公共[1280*720],http://119.140.58.156:9901/hls/12/index.m3u8
龍翔時代[1920*1080],http://119.140.58.156:9901/hls/13/index.m3u8
CCM电影[1920*1080],http://119.140.58.156:9901/hls/14/index.m3u8
风云足球[1920*1080],http://119.140.58.156:9901/hls/15/index.m3u8
CHC动作电影[1280*720],http://119.140.58.156:9901/hls/16/index.m3u8
CCTV-1综合[1920*1080],http://119.140.58.156:9901/hls/17/index.m3u8
CCTV-2财经[1920*1080],http://119.140.58.156:9901/hls/18/index.m3u8
CCTV-3综艺[1920*1080],http://119.140.58.156:9901/hls/19/index.m3u8
CCTV-4中文国际[768*576],http://119.140.58.156:9901/hls/20/index.m3u8
CCTV-5体育[1024*576],http://119.140.58.156:9901/hls/21/index.m3u8
CCTV-6电影[1024*576],http://119.140.58.156:9901/hls/22/index.m3u8
CCTV-7国防军事[768*576],http://119.140.58.156:9901/hls/23/index.m3u8
CCTV-8电视剧[1024*576],http://119.140.58.156:9901/hls/24/index.m3u8
CCTV-9纪录[768*576],http://119.140.58.156:9901/hls/25/index.m3u8
CCTV-10科教[768*576],http://119.140.58.156:9901/hls/26/index.m3u8
CCTV-11戏曲[768*576],http://119.140.58.156:9901/hls/27/index.m3u8
CCTV-12社会与法[768*576],http://119.140.58.156:9901/hls/28/index.m3u8
CCTV-13新闻[768*576],http://119.140.58.156:9901/hls/29/index.m3u8
CCTV-14少儿[768*576],http://119.140.58.156:9901/hls/30/index.m3u8
CCTV-15音乐[768*576],http://119.140.58.156:9901/hls/31/index.m3u8
CCTV-17农业[768*576],http://119.140.58.156:9901/hls/32/index.m3u8
广东珠江[1024*576],http://119.140.58.156:9901/hls/33/index.m3u8
广东新闻[1024*576],http://119.140.58.156:9901/hls/34/index.m3u8
广东公共[1024*576],http://119.140.58.156:9901/hls/35/index.m3u8
广东体育[1024*576],http://119.140.58.156:9901/hls/36/index.m3u8
热播剧场[720*576],http://119.140.58.156:9901/hls/37/index.m3u8
经济科教[1024*576],http://119.140.58.156:9901/hls/38/index.m3u8
广东影视[1024*576],http://119.140.58.156:9901/hls/39/index.m3u8
广东少儿[1024*576],http://119.140.58.156:9901/hls/40/index.m3u8
广东移动[1024*576],http://119.140.58.156:9901/hls/41/index.m3u8
南方购物[1920*1080],http://119.140.58.156:9901/hls/42/index.m3u8
岭南戏曲[1024*576],http://119.140.58.156:9901/hls/43/index.m3u8
现代教育[1024*576],http://119.140.58.156:9901/hls/44/index.m3u8
嘉佳卡通[1024*576],http://119.140.58.156:9901/hls/45/index.m3u8
卡酷动画[768*576],http://119.140.58.156:9901/hls/46/index.m3u8
金鹰卡通[768*576],http://119.140.58.156:9901/hls/47/index.m3u8
炫动卡通[1024*576],http://119.140.58.156:9901/hls/48/index.m3u8
优漫卡通[1024*576],http://119.140.58.156:9901/hls/49/index.m3u8
中国教育[768*576],http://119.140.58.156:9901/hls/50/index.m3u8
山东教育[1024*576],http://119.140.58.156:9901/hls/51/index.m3u8
财富天下[768*576],http://119.140.58.156:9901/hls/52/index.m3u8
广东卫视[1920*1080],http://119.140.58.156:9901/hls/53/index.m3u8
南方卫视[1024*576],http://119.140.58.156:9901/hls/54/index.m3u8
湖南卫视[768*576],http://119.140.58.156:9901/hls/55/index.m3u8
浙江卫视[768*576],http://119.140.58.156:9901/hls/56/index.m3u8
陕西卫视[768*576],http://119.140.58.156:9901/hls/57/index.m3u8
山西卫视[768*576],http://119.140.58.156:9901/hls/58/index.m3u8
内蒙古卫视[768*576],http://119.140.58.156:9901/hls/59/index.m3u8
青海卫视[768*576],http://119.140.58.156:9901/hls/60/index.m3u8
海南卫视[768*576],http://119.140.58.156:9901/hls/61/index.m3u8
江苏卫视[768*576],http://119.140.58.156:9901/hls/62/index.m3u8
东方卫视[768*576],http://119.140.58.156:9901/hls/63/index.m3u8
安徽卫视[768*576],http://119.140.58.156:9901/hls/64/index.m3u8
北京卫视[768*576],http://119.140.58.156:9901/hls/65/index.m3u8
天津卫视[768*576],http://119.140.58.156:9901/hls/66/index.m3u8
山东卫视[768*576],http://119.140.58.156:9901/hls/67/index.m3u8
江西卫视[768*576],http://119.140.58.156:9901/hls/68/index.m3u8
深圳卫视[768*576],http://119.140.58.156:9901/hls/69/index.m3u8
湖北卫视[768*576],http://119.140.58.156:9901/hls/70/index.m3u8
辽宁卫视[768*576],http://119.140.58.156:9901/hls/71/index.m3u8
黑龙江卫视[768*576],http://119.140.58.156:9901/hls/72/index.m3u8
贵州卫视[768*576],http://119.140.58.156:9901/hls/73/index.m3u8
四川卫视[768*576],http://119.140.58.156:9901/hls/74/index.m3u8
河南卫视[768*576],http://119.140.58.156:9901/hls/75/index.m3u8
云南卫视[768*576],http://119.140.58.156:9901/hls/76/index.m3u8
重庆卫视[768*576],http://119.140.58.156:9901/hls/77/index.m3u8
河北卫视[768*576],http://119.140.58.156:9901/hls/78/index.m3u8
东南卫视[768*576],http://119.140.58.156:9901/hls/79/index.m3u8
广西卫视[768*576],http://119.140.58.156:9901/hls/80/index.m3u8
吉林卫视[768*576],http://119.140.58.156:9901/hls/81/index.m3u8
宁夏卫视[768*576],http://119.140.58.156:9901/hls/82/index.m3u8
西藏卫视[768*576],http://119.140.58.156:9901/hls/83/index.m3u8
新疆卫视[768*576],http://119.140.58.156:9901/hls/84/index.m3u8
甘肃卫视[768*576],http://119.140.58.156:9901/hls/85/index.m3u8
兵团卫视[785*576],http://119.140.58.156:9901/hls/86/index.m3u8
三沙卫视[1024*576],http://119.140.58.156:9901/hls/87/index.m3u8
延边卫视[1024*576],http://119.140.58.156:9901/hls/88/index.m3u8
厦门卫视[785*576],http://119.140.58.156:9901/hls/89/index.m3u8
风云剧场[1920*1080],http://119.140.58.156:9901/hls/90/index.m3u8
广东卫视,http://116.21.120.40:4433/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广州新闻,http://116.21.120.40:4433/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
广州影视,http://116.21.120.40:4433/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,http://116.21.120.40:4433/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1-综合,http://116.21.120.40:4433/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://116.21.120.40:4433/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
南方卫视,http://116.21.120.40:4433/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14-少儿,http://116.21.120.40:4433/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12-社会与法,http://116.21.120.40:4433/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9-纪录,http://116.21.120.40:4433/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7-军农,http://116.21.120.40:4433/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10-科教,http://116.21.120.40:4433/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2-财经,http://116.21.120.40:4433/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
广东珠江,http://116.21.120.40:4433/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3-综艺,http://116.21.120.40:4433/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5-体育,http://116.21.120.40:4433/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11-戏曲,http://116.21.120.40:4433/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6-电影,http://116.21.120.40:4433/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8-电视剧,http://116.21.120.40:4433/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15-音乐,http://116.21.120.40:4433/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4-国际,http://116.21.120.40:4433/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
广东新闻,http://116.21.120.40:4433/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13-新闻,http://116.21.120.40:4433/tsfile/live/0013_1.m3u8?key=txiptv&playlive=0&authid=0
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/3/224/3221228527/1.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/ott.mobaibox.com/PLTV/3/224/3221228524/1.m3u8
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
翡翠台,https://edge6a.v2h-cdn.com/jade/jade.stream/chunklist.m3u8
明珠台,http://198.16.100.90:8278/pearl_twn/playlist.m3u8?tid=MC6C7041327570413275&ct=19226&tsum=681972baf66d69caf7cccc92a90e5aad
J2,http://198.16.100.90:8278/j2_twn/playlist.m3u8?tid=MFCF3274854132748541&ct=19254&tsum=699466c18aac56202ad1d2843fd21032
NHK World,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_4M.m3u8
CCTV1-综合,http://123.52.43.144:8888/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://123.52.43.144:8888/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://123.52.43.144:8888/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://123.52.43.144:8888/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://123.52.43.144:8888/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://123.52.43.144:8888/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://123.52.43.144:8888/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://123.52.43.144:8888/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://123.52.43.144:8888/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10-科教,http://123.52.43.144:8888/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11-戏曲,http://123.52.43.144:8888/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12-社会与法,http://123.52.43.144:8888/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13-新闻,http://123.52.43.144:8888/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14-少儿,http://123.52.43.144:8888/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://123.52.43.144:8888/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://123.52.43.144:8888/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
都市频道,http://123.52.43.144:8888/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
民生频道,http://123.52.43.144:8888/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
法制频道,http://123.52.43.144:8888/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
公共频道,http://123.52.43.144:8888/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://123.52.43.144:8888/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://123.52.43.144:8888/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://123.52.43.144:8888/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://123.52.43.144:8888/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://123.52.43.144:8888/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://123.52.43.144:8888/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://123.52.43.144:8888/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://123.52.43.144:8888/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://123.52.43.144:8888/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://123.52.43.144:8888/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://123.52.43.144:8888/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://123.52.43.144:8888/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://123.52.43.144:8888/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://123.52.43.144:8888/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://123.52.43.144:8888/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://123.52.43.144:8888/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://123.52.43.144:8888/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://123.52.43.144:8888/tsfile/live/0142_2.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://123.52.43.144:8888/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://123.52.43.144:8888/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://123.52.43.144:8888/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://123.52.43.144:8888/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://123.52.43.144:8888/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://123.52.43.144:8888/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://123.52.43.144:8888/tsfile/live/0150_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://123.52.43.144:8888/tsfile/live/0141_2.m3u8?key=txiptv&playlive=1&authid=0
金鹰卡通,http://123.52.43.144:8888/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
嘉佳卡通,http://123.52.43.144:8888/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
卡酷动画,http://123.52.43.144:8888/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
炫动卡通,http://123.52.43.144:8888/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
